id,make,model,model_year,vin
149,Chevrolet,Silverado 3500,2005,2G4GT5GX1F9992391
150,Volkswagen,GTI,2003,WAUJT68E45A637437
151,Ford,Thunderbird,1958,WBS3C9C5XFP722200
152,Ford,F150,2006,WAUBNBFB2AN529000
153,Maserati,GranSport,2005,WBAFV3C51ED234553
154,Dodge,Grand Caravan,2008,SCBCR63W54C076360
155,Subaru,Forester,2005,1N6AA0CA7FN470301
156,Hyundai,Tiburon,2000,WP0AD2A71EL597973
157,Porsche,Panamera,2012,JHMZE2H37CS076776
158,Jeep,Liberty,2005,3C3CFFER1CT920530
159,Chevrolet,Corvette,2005,1FTWF3A56AE849751
160,Honda,Element,2005,2T1BURHE1EC875926
161,Chrysler,300M,2004,5J8TB18208A962101
162,GMC,Sonoma,2000,2FMGK5BC3BB156220
163,BMW,M5,2003,SCFAB423X2K303972
164,MINI,Cooper,2004,1GD022CG1CZ426113
165,Mercedes-Benz,S-Class,2012,2V4RW3D16AR731412
166,BMW,3 Series,2009,WAUKF98E55A494866
167,Chevrolet,Express 2500,2007,1G6AH5RXXF0285604
168,Ford,Fairlane,1967,JN1CV6FE5DM289186
169,Nissan,Murano,2009,3VW507AT4EM676671
170,Ford,Crown Victoria,2001,WP0AB2A93FS609703
171,GMC,Yukon,2009,4USBU53567L901958
172,Hyundai,Elantra,1999,3VW467AT3DM402791
173,GMC,Suburban 2500,1995,WBAFU7C53DD395737
174,Lexus,HS,2010,WAUVC68E65A136910
175,Maybach,57,2003,WBAGK93401D391203
176,Volkswagen,rio,2000,3FA6P0LU8FR247656
177,GMC,Savana,2009,WBAWL73547P520881
178,Hyundai,Veracruz,2009,JTHBE1KS1B0001089
179,Maybach,57S,2005,5FRYD4H25GB623919
180,Audi,A5,2010,1G6KH5EY0AU103025
181,Honda,S2000,2006,1G6DM8E34D0049475
182,Suzuki,Swift,1994,19UYA42552A421548
183,Saab,900,1991,1GT01ZCG1EF780993
184,Infiniti,I,2002,1C6RD7HT0CS994653
185,Toyota,Land Cruiser,2009,1N6AF0LY8FN532237
186,Volvo,C70,2006,JH4DC54886S206054
187,Ford,ZX2,2002,1N6BF0KM2FN042587
188,Pontiac,Bonneville,1990,3G5DB03E25S690974
189,Buick,Park Avenue,2002,YV1672MC0CJ033806
190,Mercedes-Benz,E-Class,1987,3C63DRAL6CG048205
191,Saab,900,1994,WAUDGBFL9BA933951
192,Ferrari,458 Italia,2012,1G6DS8E3XD0119051
193,Oldsmobile,Cutlass Supreme,1993,JTDKN3DUXB0824311
194,Ford,F-Series,2002,WAUNF78P38A600447
195,Ford,F250,2008,1G6DE8EY5B0811864
196,Chevrolet,Express 3500,1996,1GT02ZCG1EF761468
197,Ford,F-Series,1990,JN8AS5MT3DW982663
198,Cadillac,Escalade ESV,2003,WAUGFAFR1EA010169
199,Mazda,626,2002,WAUR2AFD7DN251444
200,Chevrolet,Silverado,2010,1FMEU2DE8AU460196
201,Audi,S6,2008,KMHTC6AD9EU597427
202,Plymouth,Colt Vista,1994,5N1AA0NCXEN815171
203,Mitsubishi,Pajero,1992,WAUDFAFL2BA842873
204,Pontiac,Firebird,2002,5N1AN0NW6EN617363
205,Volkswagen,Jetta,1987,WAUDF78E47A350399
206,Mitsubishi,Outlander,2011,WA1DKBFPXBA864671
207,Lincoln,Mark VIII,1996,1GYFC53249R826655
208,Hyundai,Scoupe,1993,WAUHGAFC6EN958542
209,Dodge,Neon,1996,WBAUC9C58BV086780
210,Jeep,Wrangler,2001,5XYZT3LB7FG933071
211,Hyundai,Genesis,2010,WBAGL83514D574064
212,Mitsubishi,Mighty Max,1992,1N4AB7AP1DN943693
213,Suzuki,XL-7,2001,WBAPL5C56BA186454
214,GMC,Sonoma,2001,2G61W5S83E9729869
215,Infiniti,QX,2008,1GYUKGEFXAR635526
216,Ford,F-Series Super Duty,2010,2T1BURHE1EC126009
217,Chevrolet,Camaro,1995,JH4CU2E81EC495695
218,Audi,TT,2005,3D7JB1EP1BG018943
219,Lincoln,Navigator,2007,2T1BURHEXEC189027
220,Mercedes-Benz,M-Class,2000,WVGFG9BP1CD832170
221,Lexus,RX,2000,SCFEBBCF3CG831758
222,Toyota,Tacoma Xtra,2002,WA1WYAFE7AD255633
223,Pontiac,Grand Prix,2005,2G4WD532851316911
224,Mercedes-Benz,300TE,1993,WP0AA2A8XAU431778
225,Subaru,Justy,1989,WAUEH98EX6A341196
226,Volkswagen,Eos,2007,WBAXH5C58CD145373
227,Mitsubishi,Mirage,1997,5NPDH4AE0CH162746
228,GMC,Sonoma,2004,WBAKE5C5XBE925886
229,GMC,Yukon XL 1500,2003,WBANV93578C873318
230,Volkswagen,New Beetle,1999,1FADP3E24DL372962
231,Volvo,C70,2011,2G4GY5GV9B9200045
232,Dodge,Dakota,2010,WAUHF98P66A753023
233,Pontiac,Firebird,1986,1D4RE3GG4BC031723
234,Mercury,Villager,2001,1G6KF54901U501416
235,Chevrolet,Aveo,2004,WA1VMAFE6ED863799
236,Mercedes-Benz,E-Class,2007,WAUMR44E35N991982
237,Lexus,ES,2003,1G6AP5SX7F0963853
238,Ford,Probe,1991,1N6AD0CW1EN145421
239,Mercedes-Benz,600SEL,1993,3GYFNHE39DS584226
240,Pontiac,Fiero,1988,JN8AE2KP3B9923619
241,Honda,Accord,1986,WAUDFAFC8FN893440
242,GMC,Sierra 2500,2008,5J6TF1H39FL975338
243,Chevrolet,G-Series 1500,1998,5N1AR2MM9FC978356
244,Mazda,MX-5,1994,1VWAH7A38CC620609
245,Chevrolet,Astro,2002,4A4AP3AU4FE745857
246,Toyota,Venza,2013,1D7CE3GK0AS573208
247,Honda,Accord,1983,JN8AZ2KR7ET198328
248,Acura,RDX,2007,WA1WKBFP6BA077791
249,Ford,Escort,1984,1GYFK26299R981781
250,Bentley,Azure T,2010,KM8JT3AB5DU888834
251,Buick,Park Avenue,1996,1FTSW3A56AE596381
252,Oldsmobile,Ciera,1992,19UUA75667A239319
253,Lexus,HS,2011,2C3CCASG1DH824695
254,Volvo,S80,2011,JTHBF1D26F5042403
255,Ford,Taurus,1988,5TFCY5F16CX367306
256,Ford,Taurus,1997,JH4DC54802C667317
257,Lincoln,Continental,1988,5XYZG3AB9CG064265
258,BMW,M3,2003,3C3CFFFH7FT350771
259,Infiniti,G35,2004,WAUEF98E18A422144
260,Mitsubishi,Mighty Max,1992,3C3CFFER0FT094385
261,Lexus,LX,2013,WBA3B3G54FN327603
262,Mitsubishi,Diamante,1997,KMHHT6KD2BU379636
263,Chevrolet,Express 3500,1999,4T1BF3EK0AU559184
264,Mercedes-Benz,G-Class,2012,JM1NC2LF8F0587453
265,Honda,Ridgeline,2009,5N1AR1NB2CC365532
266,Hyundai,Excel,1993,1G6DT57V380919271
267,Volkswagen,Touareg,2003,3N1AB6AP9CL569064
268,Chevrolet,Silverado,1999,5GAKRAED3CJ826731
269,Buick,Century,1994,1GYS4CEF3ER208947
270,Mazda,626,2001,WAU3GAFR8EA768523
271,Lotus,Evora,2011,JTHBE1BL7D5714920
272,Porsche,Boxster,2009,5NPEB4AC5EH956228
273,Jaguar,X-Type,2005,1C4RJEAG2FC563801
274,Ford,Escort ZX2,2003,YV1672MC9DJ952852
275,Ford,E150,2007,WAU3GAFC5DN529546
276,Hyundai,Santa Fe,2006,WBAEB535X8C957909
277,Pontiac,Grand Prix,1999,3C4PDDEG2ET495277
278,Nissan,Sentra,1999,KMHHT6KJ5FU454129
279,Kia,Rio,2002,SCBFT7ZA5DC121510
280,Toyota,Matrix,2011,JN8AZ1MU2AW203245
281,Hyundai,Sonata,2002,WAUJFAFH5BN133491
282,Volvo,V70,1998,1G6DL5EG3A0370407
283,Dodge,Ram 1500 Club,2000,JTHBP5C22B5296092
284,Lincoln,Continental,1993,WAUSF78K19A634380
285,Ford,Escort,1989,1GYS4BEF2BR137021
286,GMC,Suburban 2500,1994,YV1612FS4E2556376
287,Nissan,Quest,2007,WAUMFBFL0BN293026
288,Honda,Pilot,2004,WAULT68E45A996215
289,Chevrolet,Lumina,2000,3C4PDCBB8FT191164
290,Mercedes-Benz,E-Class,2010,4T1BD1EB1EU808060
291,Pontiac,Grand Prix,2001,19XFB2E58FE950563
292,Subaru,Forester,1998,5NPDH4AE0BH341853
293,Mitsubishi,Starion,1987,19UUA8F78CA464235
294,Chevrolet,SSR,2005,5LMJJ2JT4FE845153
295,GMC,Canyon,2011,WAUDFBFC7CN686409
296,Toyota,Yaris,2010,JN8AZ2KR9BT341114
297,Volvo,XC70,2008,1GD11ZCG9CF884354
298,Chevrolet,Classic,2005,1YVHZ8AH7A5207169
299,Lexus,SC,2006,WBABD33414P645411
300,Scion,xB,2004,WVWAB7AJ7DW353949
301,Volkswagen,Golf III,1995,5TDDK3DC5FS451111
302,Buick,LeSabre,2003,SCFAD223X3K554782
303,Aston Martin,DB9,2009,WA1LMAFE0FD789174
304,Volkswagen,Cabriolet,1986,WAUUL78E38A705492
305,Jaguar,XJ Series,1997,WAUBH74F17N792517
306,Hyundai,Equus,2013,WA1UFAFL6DA742369
307,Mazda,Miata MX-5,1995,WAUDG94F16N244751
308,Dodge,Ram Van B150,1993,WBAGJ03491D554770
309,Toyota,Camry,2008,1GTN1TEH3FZ565379
310,GMC,Rally Wagon 1500,1993,YV1902FHXB2310075
311,Lotus,Esprit,2000,1N6AF0KY1FN432028
312,Dodge,Ram 1500,2008,WAUEFAFL3CA007595
313,Audi,90,1990,3VW117AU2FM312528
314,Mazda,MPV,1998,1GYS3FEJ2BR764820
315,Chevrolet,Camaro,1996,JH4DC53046S316076
316,Lexus,LX,2001,WA1YD54B22N322767
317,Ford,F-Series,1989,YV1902MC5F1646512
318,Acura,Integra,1996,5N1AN0NW3EN556702
319,Maserati,430,1990,1C3BC2FB0BN361324
320,Buick,Rainier,2004,JN1BJ0HR0DM710008
321,Ford,Mustang,1965,WAUEFAFLXBN219885
322,Ford,Aerostar,1986,1G4CU541354869415
323,Lotus,Esprit,1999,1FMCU0C73BK371888
324,Mercury,Sable,1991,3C3CFFAR9DT111087
325,Mazda,626,1999,2LMDJ6JK6FB483664
326,Pontiac,6000,1985,WAU2MAFCXEN769245
327,Eagle,Talon,1996,1GKS1AE03ER674588
328,Acura,Legend,1987,5J6YH1H35AL530572
329,BMW,5 Series,2003,1GYFC262X9R683642
330,Honda,Civic,1993,WAUBC48H85K377413
331,Lexus,CT,2012,1C4RDJAG5CC275816
332,Chevrolet,Impala,2004,4T3BK3BBXFU996480
333,Dodge,Ram 3500,1994,WBAEV53453K886549
334,Mazda,Familia,1988,3C63DPML1CG409288
335,Toyota,Camry,2005,WAUFFAFL8EA550626
336,Dodge,Ram 2500,2001,WAUVT68E84A956484
337,Chevrolet,Classic,2004,WDDGF4HB2DA057090
338,Mazda,Miata MX-5,1996,1FTSX2A59AE584135
339,Chevrolet,Camaro,2011,SCFEBBAC3AG451017
340,Mazda,Mazdaspeed 3,2007,JTEBU5JR8B5043414
341,Saab,900,1989,5UXFA53523L890014
342,Pontiac,Aztek,2004,1G6AU5S86E0123384
343,Kia,Sportage,2008,WBAFR9C5XCD385878
344,GMC,3500,1997,WBA3N9C56EF464129
345,Ford,F-Series,1989,WBALM5C56AE207189
346,Dodge,Neon,1995,1FMCU9E75AK908342
347,GMC,Sonoma,1994,JTDKDTB35D1340721
348,Ford,Escape,2009,WA1LMAFEXDD044445
349,Chevrolet,Silverado 2500,2006,3LN6L2G95ER403752
350,Buick,Reatta,1989,3TMJU4GN1BM475349
351,Aston Martin,V8 Vantage,2012,1G6DJ8E35D0455547
352,Mazda,CX-7,2011,1FTSW2A58AE155202
353,Saab,9-7X,2006,WBA3T3C52EJ576264
354,Volvo,S60,2005,1FTWW3DY7AE296565
355,Mercedes-Benz,E-Class,2007,SCFEDCAD6CG548868
356,Toyota,Truck Xtracab SR5,1989,WVWAB7AJ7DW166582
357,Mercedes-Benz,CLK-Class,2003,WVGAV3AX4EW702504
358,Mercury,Marauder,2003,1G4GA5GR4FF800699
359,Ford,Crown Victoria,2000,WBA3N5C58EK978290
360,Lexus,RX,2012,1G6DL8E31C0953995
361,Mitsubishi,Eclipse,1997,1G6DP8EV2A0716094
362,Toyota,Sequoia,2003,1FMJK1G55EE959239
363,Pontiac,Grand Am,2003,1D7RE3GK6AS956399
364,Volvo,S70,2000,WAUHFAFL3AA338249
365,Hyundai,Genesis Coupe,2011,KL4CJGSB9EB725541
366,Suzuki,Grand Vitara,2007,WA1AY74L18D486603
367,Ford,E350,2011,SCBFR7ZA7DC321481
368,Lamborghini,Murciélago LP640,2008,WA1YD64B35N797757
369,Toyota,Celica,1997,error: SQLite3::CorruptException: database disk image is malformed
370,Chevrolet,Venture,2004,1GKKRNED2BJ969159
371,Toyota,Land Cruiser,2005,WVWAN7AN7DE067342
372,Mazda,626,1996,1G6DV8EP3D0058832
373,Nissan,Altima,2012,YV1672MKXD2691376
374,Chevrolet,Cobalt,2005,3FADP0L3XBR451318
375,Kia,Rio5,2008,1GD322CG6EF584058
376,Jeep,Cherokee,1996,1GYS4FEJ3DR734273
377,Mercury,Tracer,1989,JN8AZ1MU1DW014526
378,Suzuki,Swift,2004,KMHHT6KD5BU297982
379,Chevrolet,Avalanche 1500,2005,5TDDK3DC2BS683126
380,Pontiac,Sunfire,1997,1G6DL5E33D0700922
381,GMC,Sierra 2500,2001,SCBLF44J57C147836
382,Mercury,Monterey,2004,1GKUCFDJ3AR005564
383,Audi,Quattro,1985,2C3CDXCT1FH411691
384,Aston Martin,V8 Vantage,2006,1D7RV1GT6BS853787
385,Bentley,Continental,2006,5J8TB3H38GL459522
386,Oldsmobile,Silhouette,1994,1GD02ZCG4BF778093
387,Hyundai,Tucson,2006,1G6KH5EY6AU471130
388,Ford,Bronco,1985,SAJWA6BC9F8009082
389,Ford,Thunderbird,1977,5NPEB4AC9CH751833
390,Volkswagen,riolet,1992,SAJWA4FC9EM052776
391,Nissan,Altima,1996,2G61R5S31E9341177
392,Chevrolet,Express 2500,2011,19UUA75638A330257
393,Lexus,SC,2008,WDDEJ8GB6AA906390
394,Mazda,626,1992,1G4HP52KX54212863
395,Lexus,SC,2004,WBSWD93579P133300
396,Land Rover,Freelander,2008,3GYFK12219G479959
397,Chevrolet,Astro,1992,WAULC58E53A870985
398,Dodge,Neon,1999,WAUKFAFL7DN964308
399,Cadillac,XLR,2006,19UUA65566A918331
400,Volvo,V70,2002,5GADX33L65D403938
401,Lexus,IS F,2008,WAUGGBFC1CN056993
402,Chevrolet,Suburban 2500,1997,JHMZE2H59ES424808
403,Dodge,Challenger,2012,KMHHT6KD5AU074940
404,Ferrari,FF,2012,1N4AB7APXDN290958
405,BMW,600,1958,1FTSW3B58AE511328
406,Dodge,Viper RT/10,1994,1N6AA0CC2EN249169
407,Nissan,Pathfinder,1998,JH4KA96571C147900
408,BMW,550,2006,JTDKTUD35ED213585
409,Audi,S5,2008,WAUAFAFL2EA424742
410,Mazda,MX-6,1997,5N1AT2MK4EC948230
411,Suzuki,Aerio,2007,1FTKR1AD3BP909119
412,Ford,F350,2009,1G6KE54Y11U890836
413,Mercedes-Benz,GL-Class,2010,TRUSX28N121134289
414,Mazda,MX-5,2009,WBANA53575B943793
415,Suzuki,Grand Vitara,2001,WBABW53404P948198
416,Volkswagen,Golf,1990,WAUHGBFC0DN518451
417,Audi,80,1990,WBAAW33461E683133
418,Mercury,Mountaineer,2003,1GTN1UEH8EZ188181
419,Volkswagen,Passat,1993,3MZBM1K75FM571399
420,Audi,4000s Quattro,1986,WA1WMAFP6EA804548
421,Land Rover,Discovery,2000,JN1CV6EK8FM889811
422,Mitsubishi,Galant,2010,JN1BY1APXFM368080
423,Pontiac,Bonneville,1992,WAUEV94F07N494199
424,Mazda,Tribute,2001,WVWED7AJ9BW889066
425,Hummer,H2 SUV,2006,WBA3A5C52EF908563
426,Lexus,ES,2002,1GKUKFDJXAR475741
427,MINI,Cooper,2002,JHMZF1C61ES536932
428,Toyota,Camry,2011,4JGDF2EE4DA455509
429,Jeep,Liberty,2012,JHMZF1C47CS519399
430,Dodge,Magnum,2005,1B3BD1FB1BN658011
431,Chevrolet,Monte Carlo,1998,1D7CW3BKXAS303018
432,Mercedes-Benz,CLS-Class,2012,1GTC5LF92C8412836
433,Dodge,Neon,1998,1N4AA5AP2CC299980
434,Lincoln,Mark VIII,1995,1G6DP5E39D0331665
435,Audi,TT,2005,1G4GJ5G3XDF289329
436,Mercedes-Benz,SLS-Class,2012,WP0AB2A90AS206187
437,Volkswagen,GTI,1991,2G4G15GV6B9449195
438,Chevrolet,1500,1992,WA1YD64B13N293818
439,Dodge,Charger,1999,5J6TF2H50DL055408
440,Porsche,Boxster,1997,SCBGC3ZA3EC210197
441,Ford,Explorer,1994,3C6TD4MT8CG894947
442,Lexus,ES,2007,1G6KA5EY4AU356840
443,Chevrolet,Silverado 3500,2004,5UXWX9C56D0153679
444,Chevrolet,Sportvan G20,1992,1G6AR5SX6E0981494
445,Ford,F350,2001,1G4HP54K33U881843
446,BMW,M3,2012,3D7TT2CT1AG836733
447,Toyota,Camry,2000,WAUDV74F59N963922
448,Mazda,MX-6,1992,5N1AA0NC2AN581084
449,Volvo,S80,2008,WVGAV7AX0CW092167
450,Subaru,Baja,2004,1G6DM5EG2A0380164
451,Nissan,Pathfinder,1996,3VWJX7AJ9AM445347
452,Buick,Regal,1989,5GAKVAED0CJ097311
453,Dodge,Ram Van B350,1992,WAUGL78E06A541337
454,Hyundai,Azera,2006,WBAEB53579C257685
455,Ford,Aspire,1995,1YVHZ8BH6C5662077
456,Suzuki,Grand Vitara,2008,WBAET37405N946758
457,Chevrolet,Cobalt,2005,1N4AB7AP6DN709209
458,Dodge,Ram Van 1500,1998,WAUSF78EX6A571138
459,Oldsmobile,Alero,2000,1G6AK5SX2D0505083
460,Chevrolet,2500,1992,1FTMF1EW9AK442264
461,Ford,Crown Victoria,2008,WBAHN03588D675768
462,Chrysler,Town & Country,1996,JN1AZ4EH0BM390290
463,BMW,Alpina B7,2007,JH4NA21693T536402
464,Buick,Skylark,1986,WBAKG7C56DJ232748
465,Dodge,Ram Wagon B250,1992,SALVP2BG4EH968465
466,Honda,Odyssey,2002,WAUVC58E65A986966
467,Mitsubishi,GTO,1994,1GD22XEG4FZ647759
468,Ford,Festiva,1988,1G6AE5S31D0141887
469,Toyota,Land Cruiser,1995,JN1BJ0HR0FM415039
470,GMC,Vandura 2500,1994,2C3CDYCJ4EH369763
471,Mercury,Grand Marquis,2000,1FMJK1JT7FE315136
472,Pontiac,Vibe,2010,WAUDT74F15N591978
473,Ford,Mustang,2004,3C4PDDDGXCT066242
474,Maserati,Karif,1990,KMHFC4DF7BA482109
475,Cadillac,CTS,2008,WAU4FAFL6CA642693
476,Chevrolet,Venture,1998,WAUHF78P06A546602
477,Chevrolet,HHR,2010,3D7TP2HT7AG071511
478,Isuzu,Hombre,1998,WBA3R5C5XFF373847
479,Mazda,626,2001,2HKRM3H3XCH270811
480,Nissan,Quest,1994,WBXPA93416W897238
481,Mercedes-Benz,S-Class,1994,1G6AG1RX4F0286193
482,Audi,Q7,2012,1G4HB5EM4AU321731
483,Ford,Explorer,1992,JTHFE2C21E2786244
484,Mercedes-Benz,M-Class,2012,1N6AA0CA6FN587500
